# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [rrslvq] RSLVQ
# [rslvq] RSLVQ
# [adf] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingAdwin(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# [samknn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [hat] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=200000, max_time=inf, metrics=['accuracy', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='Mixed Generator_Mixed Generator_1000_100.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],mean_acc_[hat],current_acc_[hat],mean_kappa_[rrslvq],current_kappa_[rrslvq],mean_kappa_[rslvq],current_kappa_[rslvq],mean_kappa_[adf],current_kappa_[adf],mean_kappa_[oza],current_kappa_[oza],mean_kappa_[samknn],current_kappa_[samknn],mean_kappa_[hat],current_kappa_[hat],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],model_size_[rrslvq],model_size_[rslvq],model_size_[adf],model_size_[oza],model_size_[samknn],model_size_[hat]
2190,0.674000,0.740000,0.717500,0.245000,0.901500,0.585000,0.872500,0.035000,0.887000,0.110000,0.815500,0.095000,0.353352,0.478749,0.436642,-0.515152,0.802743,0.169834,0.744668,-0.928843,0.773783,-0.782139,0.629899,-0.809638,2.616289,0.077961,2.694250,1.094516,0.423964,1.518481,13.170470,1.391628,14.562097,3.668762,2.262888,5.931650,2.295663,0.798205,3.093868,0.525734,0.173425,0.699160,35.732422,2.581055,1164.569336,2854.421875,977944.342773,18.906250
2390,0.686364,0.810000,0.674545,0.245000,0.902273,0.910000,0.807273,0.155000,0.895000,0.975000,0.745455,0.045000,0.375912,0.624506,0.350446,-0.516369,0.804448,0.818035,0.614187,-0.686963,0.789896,0.949789,0.489823,-0.902012,2.796858,0.083793,2.880652,1.168581,0.455543,1.624123,14.122099,1.482319,15.604417,3.991094,2.453198,6.444292,2.412131,0.834159,3.246291,0.564558,0.186092,0.750651,39.498047,2.581055,1070.616211,2856.457031,977824.545898,18.906250
2590,0.693750,0.775000,0.640000,0.260000,0.902083,0.900000,0.787500,0.570000,0.900417,0.960000,0.690833,0.090000,0.389015,0.562937,0.280857,-0.480000,0.804148,0.797407,0.574804,0.135852,0.800796,0.919485,0.380841,-0.805556,2.976881,0.089032,3.065913,1.235552,0.482814,1.718365,14.974746,1.564545,16.539291,4.272986,2.621173,6.894159,2.532505,0.874698,3.407203,0.597670,0.196806,0.794476,39.498047,2.581055,826.202148,2863.167969,977810.338867,19.390625
2790,0.704231,0.830000,0.605385,0.190000,0.904231,0.930000,0.788462,0.800000,0.905385,0.965000,0.643462,0.075000,0.409108,0.665848,0.211264,-0.625690,0.808463,0.859112,0.576908,0.590542,0.810765,0.929407,0.286395,-0.834589,3.172287,0.094819,3.267107,1.306209,0.513507,1.819715,15.819218,1.656388,17.475607,4.579639,2.795975,7.375614,2.685778,0.928101,3.613879,0.634668,0.208547,0.843215,39.498047,2.581055,982.596680,2596.070312,977870.159180,19.390625
2990,0.714286,0.845000,0.577143,0.210000,0.908214,0.960000,0.802143,0.980000,0.911071,0.985000,0.601786,0.060000,0.428862,0.692338,0.154591,-0.587621,0.816434,0.919743,0.604286,0.959904,0.822144,0.969916,0.203242,-0.872510,3.370677,0.100607,3.471284,1.380210,0.545304,1.925515,16.630084,1.751554,18.381638,4.869513,2.972535,7.842048,2.872131,0.992599,3.864730,0.670691,0.220027,0.890718,33.447266,2.581055,1112.694336,2662.859375,977945.459961,19.390625
3190,0.718333,0.775000,0.589333,0.760000,0.889000,0.620000,0.762667,0.210000,0.881000,0.460000,0.622333,0.910000,0.437517,0.547284,0.179532,0.516373,0.778012,0.236565,0.525533,-0.480094,0.762004,-0.081622,0.243594,0.815290,3.536891,0.107915,3.644806,1.464017,0.579976,2.043993,17.854409,1.866961,19.721370,5.217081,3.145166,8.362247,3.039711,1.052258,4.091968,0.712705,0.234202,0.946907,39.615234,2.581055,657.389648,2235.406250,977802.795898,19.390625
3390,0.724375,0.815000,0.601250,0.780000,0.890312,0.910000,0.738750,0.380000,0.885938,0.960000,0.641875,0.935000,0.449498,0.629555,0.203259,0.559604,0.780637,0.819982,0.477696,-0.240372,0.771873,0.920024,0.282876,0.870052,3.765179,0.115241,3.880420,1.555707,0.618687,2.174394,19.029673,1.985663,21.015336,5.557984,3.346044,8.904029,3.179059,1.092105,4.271164,0.760704,0.248650,1.009354,37.041016,2.581055,873.350586,2395.949219,977798.573242,12.033203
3590,0.732353,0.860000,0.612647,0.795000,0.892059,0.920000,0.736765,0.705000,0.890294,0.960000,0.655294,0.870000,0.465576,0.718650,0.226291,0.593577,0.784107,0.838449,0.473728,0.405721,0.780565,0.919355,0.309478,0.737903,3.971655,0.121501,4.093156,1.633598,0.652386,2.285983,19.975571,2.077992,22.053562,5.852038,3.527136,9.379174,3.306325,1.133728,4.440053,0.805635,0.259243,1.064878,39.642578,2.581055,913.967773,2571.597656,977858.659180,33.362305
3790,0.739444,0.860000,0.621667,0.775000,0.895000,0.945000,0.743611,0.860000,0.894722,0.970000,0.670556,0.930000,0.479695,0.720140,0.244314,0.550539,0.789991,0.890000,0.487461,0.720364,0.789426,0.940006,0.340101,0.859930,4.255827,0.129249,4.385076,1.730731,0.692888,2.423619,21.237795,2.192664,23.430459,6.214277,3.744615,9.958892,3.489271,1.199024,4.688295,0.866591,0.273116,1.139707,39.642578,2.581055,1081.112305,2524.046875,977938.569336,34.897461
3990,0.747105,0.885000,0.627895,0.740000,0.897368,0.940000,0.755526,0.970000,0.898684,0.970000,0.683947,0.925000,0.494957,0.770000,0.256763,0.480000,0.794722,0.880000,0.511249,0.940000,0.797349,0.940000,0.367010,0.850000,4.473134,0.135476,4.608610,1.813146,0.725068,2.538214,22.227934,2.282456,24.510390,6.519599,3.936749,10.456348,3.666844,1.269473,4.936317,0.917188,0.285791,1.202979,39.642578,2.581055,1242.038086,2636.371094,978005.870117,35.491211
4190,0.741250,0.630000,0.609750,0.265000,0.883750,0.625000,0.727000,0.185000,0.863500,0.195000,0.655500,0.115000,0.483075,0.262875,0.220387,-0.475311,0.767474,0.251796,0.454255,-0.640829,0.726968,-0.607107,0.310166,-0.763651,4.691341,0.143111,4.834452,1.905238,0.764641,2.669879,23.686163,2.392873,26.079035,6.897740,4.155071,11.052811,3.881975,1.351510,5.233485,0.980746,0.300428,1.281175,34.330078,2.581055,976.213867,2437.445312,977939.401367,36.549805
4390,0.747857,0.880000,0.592381,0.245000,0.882619,0.860000,0.705238,0.270000,0.866190,0.920000,0.630238,0.125000,0.496156,0.758430,0.185503,-0.522177,0.765222,0.719579,0.410687,-0.462193,0.732369,0.839277,0.259743,-0.730959,4.875535,0.149315,5.024850,1.983351,0.798071,2.781422,24.761551,2.483064,27.244615,7.215679,4.339917,11.555596,3.980874,1.381278,5.362151,1.033536,0.312140,1.345675,39.697266,2.581055,1247.401367,2564.234375,977883.823242,36.495117
4590,0.752500,0.850000,0.574318,0.195000,0.883182,0.895000,0.701136,0.615000,0.869773,0.945000,0.613636,0.265000,0.505388,0.699037,0.149311,-0.613550,0.766352,0.789958,0.402456,0.229538,0.739539,0.889934,0.226602,-0.466188,5.095144,0.156013,5.251157,2.069360,0.835082,2.904442,25.953354,2.578124,28.531477,7.559350,4.552139,12.111489,4.112883,1.420677,5.533560,1.096818,0.325896,1.422714,35.310547,2.581055,1418.967773,2672.164062,977924.815430,36.549805
4790,0.752826,0.760000,0.558913,0.220000,0.884565,0.915000,0.707609,0.850000,0.873913,0.965000,0.617609,0.705000,0.505938,0.521293,0.118394,-0.565165,0.769126,0.829693,0.415368,0.699369,0.747825,0.929916,0.234650,0.414218,5.328087,0.163323,5.491410,2.159132,0.874694,3.033825,27.226218,2.686205,29.912423,7.939957,4.774044,12.714001,4.285740,1.476552,5.762291,1.160619,0.340412,1.501031,39.724609,2.581055,1526.428711,2620.441406,978015.952148,37.948242
4990,0.753542,0.770000,0.545833,0.245000,0.886667,0.935000,0.718125,0.960000,0.877708,0.965000,0.625833,0.815000,0.507379,0.538755,0.092316,-0.508190,0.773325,0.869844,0.436406,0.919976,0.755413,0.929958,0.251012,0.627767,5.545476,0.169697,5.715173,2.237396,0.908683,3.146079,28.282883,2.774639,31.057522,8.261955,4.963390,13.225345,4.479960,1.530093,6.010053,1.214476,0.352841,1.567317,39.724609,2.581055,1694.944336,2593.242188,978061.936523,39.291992
5190,0.730800,0.185000,0.553800,0.745000,0.875000,0.595000,0.695200,0.145000,0.865800,0.580000,0.606400,0.140000,0.461964,-0.642814,0.108385,0.490916,0.749990,0.190486,0.390656,-0.688722,0.731591,0.157979,0.211933,-0.730382,5.866209,0.178574,6.044783,2.354306,0.958015,3.312322,30.154184,2.936376,33.090561,8.722139,5.230321,13.952460,4.663907,1.591921,6.255828,1.290233,0.372081,1.662314,39.724609,2.581055,1318.354492,2639.023438,977922.303711,37.948242
5390,0.712692,0.260000,0.561346,0.750000,0.875577,0.890000,0.680769,0.320000,0.868846,0.945000,0.595769,0.330000,0.425744,-0.480000,0.123418,0.500000,0.751135,0.780000,0.361796,-0.360000,0.737686,0.890000,0.190632,-0.340000,6.133906,0.186586,6.320492,2.450967,0.999945,3.450911,31.536352,3.045499,34.581852,9.150270,5.462995,14.613265,4.806530,1.633889,6.440419,1.359918,0.387297,1.747215,39.724609,2.581055,1338.920898,2681.285156,977951.370117,37.948242
