# TEST CONFIGURATION BEGIN
# ConceptDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 5000 - width: 1 -
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7fadd74ce7f0> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
6390,0.855161,0.900000,0.608226,0.295000,0.831290,0.915000,0.940323,0.945000,0.888226,0.920000,38.100586,3.756836,58.236328,1127.798828,2183.391602
6590,0.856406,0.895000,0.599063,0.315000,0.833750,0.910000,0.940469,0.945000,0.890312,0.955000,38.100586,3.756836,58.236328,1245.748047,1840.918945
6790,0.856970,0.875000,0.589394,0.280000,0.835758,0.900000,0.940455,0.940000,0.888788,0.840000,38.045898,3.756836,58.236328,1379.552734,1844.872070
6990,0.857794,0.885000,0.581471,0.320000,0.837059,0.880000,0.940147,0.930000,0.890000,0.930000,38.100586,3.756836,58.236328,1376.681641,1893.758789
7190,0.859571,0.920000,0.573143,0.290000,0.839714,0.930000,0.940571,0.955000,0.892571,0.980000,38.584961,3.756836,58.236328,1301.955078,2194.020508
7390,0.859583,0.860000,0.565972,0.315000,0.841111,0.890000,0.941250,0.965000,0.894444,0.960000,30.545898,3.756836,51.888672,1395.025391,2237.321289
7590,0.860946,0.910000,0.561892,0.415000,0.841622,0.860000,0.941351,0.945000,0.896351,0.965000,33.479492,3.756836,58.263672,1524.123047,2562.586914
7790,0.863026,0.940000,0.553553,0.245000,0.842500,0.875000,0.941053,0.930000,0.898553,0.980000,34.932617,3.756836,58.263672,1653.091797,2723.930664
7990,0.864359,0.915000,0.546538,0.280000,0.844487,0.920000,0.941282,0.950000,0.900513,0.975000,35.983398,3.756836,58.263672,1784.404297,2798.735352
8190,0.866375,0.945000,0.539875,0.280000,0.847125,0.950000,0.941875,0.965000,0.902375,0.975000,36.467773,3.756836,58.263672,1883.435547,2846.649414
8390,0.867805,0.925000,0.533902,0.295000,0.848780,0.915000,0.942073,0.950000,0.903659,0.955000,36.467773,3.756836,58.263672,2020.615234,2871.493164
8590,0.869524,0.940000,0.527381,0.260000,0.850476,0.920000,0.942619,0.965000,0.905476,0.980000,36.952148,3.756836,58.263672,2180.130859,2868.434570
8790,0.870465,0.910000,0.522093,0.300000,0.851860,0.910000,0.942558,0.940000,0.906977,0.970000,37.948242,3.756836,58.263672,2111.740234,2868.934570
8990,0.869886,0.845000,0.517045,0.300000,0.853182,0.910000,0.942273,0.930000,0.908523,0.975000,30.604492,3.756836,58.263672,2158.193359,2871.809570
9190,0.867667,0.770000,0.512222,0.300000,0.855000,0.935000,0.942333,0.945000,0.910333,0.990000,33.538086,3.756836,58.263672,2327.255859,2872.758789
9390,0.864457,0.720000,0.507717,0.305000,0.854891,0.850000,0.941630,0.910000,0.911630,0.970000,32.088867,3.756836,58.263672,2211.595703,2873.415039
9590,0.863723,0.830000,0.503617,0.315000,0.856064,0.910000,0.941702,0.945000,0.913191,0.985000,34.053711,3.756836,58.263672,2382.451172,2871.086914
9790,0.863229,0.840000,0.499792,0.320000,0.856771,0.890000,0.941875,0.950000,0.914375,0.970000,32.088867,3.756836,58.263672,2319.150391,2874.637695
9990,0.863061,0.855000,0.495510,0.290000,0.858571,0.945000,0.942449,0.970000,0.915816,0.985000,34.565430,3.756836,58.263672,2406.744141,2871.200195
10190,0.863300,0.875000,0.491500,0.295000,0.859700,0.915000,0.942700,0.955000,0.917100,0.980000,32.061523,3.756836,58.263672,2528.287109,2871.481445
10390,0.863431,0.870000,0.487451,0.285000,0.861078,0.930000,0.943137,0.965000,0.918431,0.985000,33.596680,3.756836,58.263672,2656.224609,2874.762695
10590,0.861538,0.765000,0.482692,0.240000,0.862115,0.915000,0.943462,0.960000,0.919808,0.990000,32.061523,3.756836,58.263672,2765.650391,2871.043945
10790,0.862170,0.895000,0.479434,0.310000,0.863113,0.915000,0.943774,0.960000,0.920943,0.980000,33.541992,3.756836,58.263672,2890.119141,2881.637695
10990,0.863611,0.940000,0.474815,0.230000,0.864537,0.940000,0.944167,0.965000,0.922037,0.980000,35.022461,3.756836,58.263672,3022.833984,2872.266602
11190,0.863000,0.830000,0.472364,0.340000,0.864636,0.870000,0.944182,0.945000,0.923000,0.975000,32.057617,3.756836,58.263672,3120.919922,2876.000977
11390,0.864107,0.925000,0.468750,0.270000,0.865893,0.935000,0.944732,0.975000,0.924018,0.980000,35.018555,3.756836,58.263672,2889.505859,2871.879883
11590,0.864035,0.860000,0.465702,0.295000,0.866930,0.925000,0.945000,0.960000,0.924912,0.975000,32.061523,3.756836,58.263672,2971.962891,2875.536133
11790,0.864138,0.870000,0.462155,0.260000,0.868017,0.930000,0.945345,0.965000,0.924828,0.920000,34.538086,3.756836,58.263672,3071.396484,2617.750977
11990,0.863983,0.855000,0.459492,0.305000,0.868729,0.910000,0.945339,0.945000,0.925763,0.980000,32.116211,3.756836,58.263672,3176.154297,2685.532227
12190,0.863917,0.860000,0.457333,0.330000,0.869167,0.895000,0.945333,0.945000,0.926667,0.980000,33.541992,3.756836,58.263672,3280.517578,2735.247070
12390,0.864016,0.870000,0.453607,0.230000,0.870082,0.925000,0.945738,0.970000,0.927131,0.955000,32.116211,3.756836,58.263672,3384.158203,2801.782227
12590,0.864677,0.905000,0.450887,0.285000,0.870565,0.900000,0.946371,0.985000,0.928145,0.990000,34.538086,3.756836,58.263672,3197.873047,2844.500977
12790,0.864365,0.845000,0.450079,0.400000,0.870873,0.890000,0.946667,0.965000,0.928730,0.965000,32.061523,3.756836,58.263672,3336.744141,2869.547852
12990,0.865234,0.920000,0.448828,0.370000,0.871797,0.930000,0.946797,0.955000,0.929375,0.970000,34.538086,3.756836,58.263672,3471.314453,2872.793945
13190,0.864077,0.790000,0.446462,0.295000,0.872231,0.900000,0.947308,0.980000,0.930308,0.990000,32.541992,3.756836,58.263672,3660.935547,2875.293945
13390,0.864394,0.885000,0.444318,0.305000,0.872500,0.890000,0.947727,0.975000,0.930909,0.970000,35.018555,3.756836,58.263672,3399.646484,2875.450195
13590,0.864552,0.875000,0.441567,0.260000,0.873657,0.950000,0.948358,0.990000,0.931791,0.990000,32.573242,3.756836,58.263672,3506.111328,2872.793945
13790,0.864412,0.855000,0.439779,0.320000,0.873897,0.890000,0.948309,0.945000,0.931912,0.940000,35.104492,3.756836,58.263672,3629.232422,2874.387695
13990,0.863551,0.805000,0.437971,0.315000,0.873986,0.880000,0.948768,0.980000,0.932536,0.975000,33.596680,3.756836,58.263672,3836.998047,2882.043945
14190,0.862929,0.820000,0.435786,0.285000,0.873929,0.870000,0.949071,0.970000,0.933357,0.990000,35.104492,3.756836,58.263672,3944.580078,2879.672852
14390,0.862746,0.850000,0.433521,0.275000,0.874366,0.905000,0.949437,0.975000,0.933873,0.970000,32.627930,3.756836,58.263672,4040.486328,2876.594727
14590,0.863750,0.935000,0.430903,0.245000,0.874653,0.895000,0.949931,0.985000,0.934583,0.985000,35.104492,3.756836,58.263672,4092.369141,2877.469727
14790,0.863767,0.865000,0.429658,0.340000,0.874521,0.865000,0.950411,0.985000,0.935205,0.980000,32.573242,3.756836,58.263672,4151.412109,2879.028320
14990,0.864189,0.895000,0.427703,0.285000,0.874459,0.870000,0.950743,0.975000,0.935811,0.980000,35.049805,3.756836,58.263672,4259.345703,2877.809570
15190,0.864000,0.850000,0.425800,0.285000,0.874267,0.860000,0.951133,0.980000,0.936200,0.965000,32.627930,3.756836,58.263672,4338.111328,2878.032227
15390,0.863224,0.805000,0.424408,0.320000,0.873158,0.790000,0.951382,0.970000,0.936513,0.960000,35.104492,3.756836,52.197266,4466.619141,2877.594727
