# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7ffb1f743208> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
6390,0.601935,0.325000,0.512419,0.475000,0.643387,0.470000,0.859194,0.865000,0.653710,0.260000,39.471680,3.756836,51.884766,962.787109,2614.680664
6590,0.598281,0.485000,0.511719,0.490000,0.650312,0.865000,0.861094,0.920000,0.647969,0.470000,39.526367,3.756836,58.291016,1143.380859,2583.250977
6790,0.602273,0.730000,0.509697,0.445000,0.657121,0.875000,0.863182,0.930000,0.651212,0.755000,39.471680,3.756836,58.291016,1249.677734,2621.250977
6990,0.604559,0.680000,0.507794,0.445000,0.664265,0.900000,0.865000,0.925000,0.658676,0.905000,39.526367,3.756836,58.291016,1271.033203,2589.661133
7190,0.596714,0.330000,0.508143,0.520000,0.648571,0.115000,0.855714,0.540000,0.643000,0.110000,39.471680,3.756836,58.291016,1343.166016,2644.481445
7390,0.593889,0.495000,0.509306,0.550000,0.634028,0.125000,0.855417,0.845000,0.629444,0.155000,39.526367,3.756836,58.291016,826.662109,2618.715820
7590,0.594054,0.600000,0.510135,0.540000,0.620000,0.115000,0.857027,0.915000,0.629189,0.620000,39.526367,3.756836,58.291016,830.091797,2669.875977
7790,0.599342,0.795000,0.511711,0.570000,0.614211,0.400000,0.859079,0.935000,0.635132,0.855000,39.471680,3.756836,58.291016,1010.451172,2719.715820
7990,0.603590,0.765000,0.512949,0.560000,0.619615,0.825000,0.861923,0.970000,0.641795,0.895000,39.526367,3.756836,58.291016,1024.037109,2352.008789
8190,0.595625,0.285000,0.511375,0.450000,0.609625,0.220000,0.855750,0.615000,0.627875,0.085000,39.526367,3.756836,58.291016,945.603516,2473.852539
8390,0.589512,0.345000,0.509756,0.445000,0.607439,0.520000,0.856707,0.895000,0.624634,0.495000,39.526367,3.756836,58.291016,1215.861328,2289.274414
8590,0.588810,0.560000,0.508333,0.450000,0.613095,0.845000,0.857976,0.910000,0.626905,0.720000,40.495117,3.756836,58.291016,1220.697266,2279.782227
