# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [SamKnn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='Mixed Generator_Mixed ' 'Generator_1000_100_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[SamKnn],current_acc_[SamKnn],model_size_[SamKnn]
25990,0.858295,0.940000,979814.362305
26190,0.855154,0.450000,979711.877930
26390,0.855992,0.965000,979660.967773
26590,0.856780,0.960000,979723.381836
26790,0.857556,0.960000,979792.659180
26990,0.858470,0.980000,979873.905273
27190,0.854926,0.380000,979796.655273
27390,0.855735,0.965000,979707.487305
27590,0.856387,0.945000,979762.893555
27790,0.857138,0.960000,979832.049805
27990,0.857914,0.965000,979905.077148
28190,0.855607,0.535000,979892.416992
28390,0.856383,0.965000,979838.002930
28590,0.857324,0.990000,979906.760742
28790,0.857972,0.950000,979979.987305
28990,0.858646,0.955000,980050.776367
29190,0.856172,0.500000,979950.444336
29390,0.856747,0.940000,979897.577148
29590,0.857177,0.920000,979924.842773
29790,0.857669,0.930000,979999.803711
29990,0.858490,0.980000,980073.916992
30190,0.855667,0.435000,979982.323242
30390,0.856325,0.955000,979959.897461
30590,0.857039,0.965000,980031.612305
30790,0.857810,0.975000,980104.999023
30990,0.858474,0.960000,980176.206055
31190,0.855516,0.400000,980097.877930
31390,0.856218,0.965000,980039.452148
31590,0.856911,0.965000,980098.022461
31790,0.857785,0.995000,980263.065430
31990,0.858428,0.960000,980339.147461
32190,0.855313,0.360000,980264.749023
32390,0.855776,0.930000,980177.811523
32590,0.856235,0.930000,980207.870117
32790,0.856718,0.935000,980270.565430
32990,0.857530,0.990000,980354.936523
33190,0.854939,0.430000,980265.956055
33390,0.855422,0.935000,980230.209961
33590,0.856228,0.990000,980303.905273
33790,0.856845,0.960000,980370.823242
33990,0.857574,0.980000,980451.459961
34190,0.854618,0.355000,980378.288086
34390,0.855263,0.965000,980306.999023
34590,0.855930,0.970000,980365.202148
34790,0.856705,0.990000,980438.713867
34990,0.857356,0.970000,980517.803711
35190,0.854600,0.375000,980427.342773
35390,0.855256,0.970000,980360.698242
35590,0.855847,0.960000,980422.221680
35790,0.856545,0.980000,980600.022461
35990,0.857207,0.975000,980674.377930
36190,0.855139,0.485000,980577.096680
36390,0.855663,0.950000,980518.358398
36590,0.856346,0.980000,980575.834961
36790,0.856913,0.960000,980656.479492
36990,0.857582,0.980000,980737.092773
37190,0.854892,0.360000,980671.624023
37390,0.855108,0.895000,980570.315430
37590,0.855615,0.950000,980628.897461
37790,0.856197,0.965000,980707.362305
37990,0.856905,0.990000,980781.202148
38190,0.855026,0.500000,980692.670898
38390,0.855654,0.975000,980631.655273
38590,0.856198,0.960000,980697.233398
38790,0.856839,0.980000,980764.510742
38990,0.857448,0.975000,980843.170898
39190,0.854974,0.375000,980786.459961
