# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f1e65649710> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
3190,0.622000,0.920000,0.537667,0.570000,0.709667,0.075000,0.875667,0.635000,0.743333,0.170000,0.878667,0.415000,0.325469,0.100544,0.426013,1.866234,0.343662,2.209895,2.997142,0.089173,3.086315,8.729058,0.777958,9.507016,2.498944,1.521080,4.020024,1.519867,0.510645,2.030512
3390,0.641563,0.935000,0.541875,0.605000,0.696250,0.495000,0.877812,0.910000,0.719063,0.355000,0.884375,0.970000,0.346742,0.107161,0.453904,1.984011,0.366616,2.350627,3.184214,0.095136,3.279350,9.290816,0.828380,10.119196,2.673390,1.626159,4.299549,1.588788,0.529249,2.118037
3590,0.653824,0.850000,0.543529,0.570000,0.707353,0.885000,0.879706,0.910000,0.716176,0.670000,0.888824,0.960000,0.369931,0.112589,0.482520,2.100963,0.389672,2.490635,3.365347,0.101081,3.466428,9.804266,0.879930,10.684196,2.846705,1.736033,4.582738,1.664944,0.553232,2.218176
3790,0.668889,0.925000,0.546667,0.600000,0.715278,0.850000,0.883611,0.950000,0.726944,0.910000,0.893333,0.970000,0.396259,0.118848,0.515106,2.217387,0.440900,2.658287,3.562016,0.106888,3.668904,10.297338,0.933396,11.230735,3.033546,1.853130,4.886676,1.754281,0.583570,2.337851
3990,0.682368,0.925000,0.553421,0.675000,0.725789,0.915000,0.887105,0.950000,0.739737,0.970000,0.897105,0.965000,0.424231,0.125834,0.550065,2.337442,0.466635,2.804078,3.764924,0.113539,3.878463,10.891863,0.993030,11.884893,3.241991,1.984827,5.226818,1.863980,0.620464,2.484444
4190,0.654000,0.115000,0.545750,0.400000,0.696250,0.135000,0.872250,0.590000,0.710250,0.150000,0.860250,0.160000,0.452617,0.132307,0.584924,2.455736,0.489858,2.945594,3.965535,0.119483,4.085018,11.526935,1.048032,12.574967,3.425674,2.088642,5.514316,1.969331,0.661121,2.630451
4390,0.628095,0.110000,0.537381,0.370000,0.669762,0.140000,0.874286,0.915000,0.689762,0.280000,0.864286,0.945000,0.480439,0.138547,0.618987,2.572674,0.512676,3.085350,4.164070,0.125353,4.289423,12.057934,1.094864,13.152798,3.607967,2.201335,5.809302,2.034389,0.680473,2.714862
4590,0.615455,0.350000,0.530682,0.390000,0.645000,0.125000,0.876591,0.925000,0.688182,0.655000,0.868182,0.950000,0.507054,0.143841,0.650896,2.689669,0.535317,3.224986,4.362088,0.131246,4.493334,12.557899,1.138251,13.696150,3.790073,2.315182,6.105255,2.116483,0.705710,2.822193
4790,0.620000,0.720000,0.522391,0.340000,0.637609,0.475000,0.878261,0.915000,0.696957,0.890000,0.872391,0.965000,0.535030,0.149666,0.684696,2.806248,0.558421,3.364669,4.560095,0.137142,4.697237,13.082976,1.186478,14.269455,3.974685,2.418799,6.393485,2.210885,0.737038,2.947922
4990,0.625208,0.745000,0.516875,0.390000,0.643125,0.770000,0.878750,0.890000,0.707708,0.955000,0.877083,0.985000,0.563357,0.155973,0.719330,2.924435,0.581750,3.506186,4.758523,0.143044,4.901567,13.613231,1.235638,14.848870,4.156091,2.525779,6.681871,2.324715,0.774565,3.099280
