,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.862,0.7,0.784,0.713
1,2,4,0.824,0.596,0.742,0.636
2,2,6,0.817,0.581,0.427,0.624
3,2,8,0.816,0.575,0.73,0.623
4,4,2,0.852,0.662,0.782,0.687
5,4,4,0.829,0.607,0.469,0.648
6,4,6,0.817,0.578,0.731,0.627
7,4,8,0.811,0.563,0.722,0.614
8,6,2,0.841,0.634,0.764,0.669
9,6,4,0.814,0.571,0.727,0.62
10,6,6,0.808,0.554,0.718,0.61
11,6,8,0.809,0.555,0.719,0.612
12,8,2,0.828,0.602,0.463,0.645
13,8,4,0.814,0.572,0.727,0.622
14,8,6,0.806,0.555,0.4,0.608
15,8,8,0.808,0.562,0.716,0.611
16,10,2,0.821,0.591,0.737,0.632
17,10,4,0.81,0.568,0.719,0.615
18,10,6,0.809,0.563,0.408,0.612
19,10,8,0.802,0.541,0.71,0.599
20,12,2,0.819,0.586,0.733,0.63
21,12,4,0.806,0.555,0.392,0.607
22,12,6,0.804,0.547,0.713,0.602
23,12,8,0.811,0.569,0.416,0.616
24,14,2,0.812,0.563,0.724,0.617
25,14,4,0.805,0.553,0.713,0.606
26,14,6,0.803,0.549,0.712,0.602
27,14,8,0.798,0.533,0.705,0.593
28,16,2,0.811,0.566,0.409,0.615
29,16,4,0.801,0.542,0.375,0.598
30,16,6,0.797,0.532,0.367,0.591
31,16,8,0.802,0.545,0.71,0.6
32,18,2,0.804,0.546,0.378,0.602
33,18,4,0.808,0.559,0.717,0.61
34,18,6,0.802,0.544,0.709,0.602
35,18,8,0.801,0.543,0.383,0.599
36,20,2,0.808,0.558,0.716,0.61
37,20,4,0.798,0.535,0.364,0.592
38,20,6,0.805,0.56,0.712,0.608
39,20,8,0.802,0.545,0.71,0.6
