Stream,Classifier,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
Sine Generator_Sine Generator_1000_1,RRSLVQ,8.0,8.0,0.884,0.763,0.746,0.767
Sine Generator_Sine Generator_1000_1000,RRSLVQ,16.0,4.0,0.886,0.768,0.751,0.771
Stagger Generator_Stagger Generator_1000_1,RRSLVQ,2.0,2.0,0.836,0.521,0.496,0.632
Stagger Generator_Stagger Generator_1000_1000,RRSLVQ,2.0,2.0,0.84,0.528,0.509,0.641
SEA Generator_SEA Generator_1000_1,RRSLVQ,2.0,2.0,0.862,0.7,0.784,0.713
SEA Generator_SEA Generator_1000_1000,RRSLVQ,2.0,2.0,0.862,0.695,0.784,0.712
Mixed Generator_Mixed Generator_1000_1,RRSLVQ,12.0,4.0,0.797,0.589,0.621,0.594
Mixed Generator_Mixed Generator_1000_1000,RRSLVQ,14.0,6.0,0.795,0.585,0.614,0.589
Hyperplane Generator,RRSLVQ,12.0,4.0,0.554,-0.919,0.104,0.109
