0,1,2,3,4,5,6
covertype,30.0,0.9,9.0,1.0,0.0001,0.6908626033057851
elec,30.0,0.9,7.0,1.0,0.0001,0.6448444444444444
gmsc,30.0,0.9,1.0,9.0,0.0001,0.9195916666666668
results_full\moving_squares,30.0,0.9900000000000002,10.0,1.0,0.01,0.5993293293293294
results_full\poker,30.0,0.7,7.0,8.0,0.001,0.5779396863691194
weather,30.0,0.9900000000000002,1.0,7.0,0.0001,0.6703370786516852
mean,,,,,,
0.6838174681278383,,,,,,
